author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
0000635D,5.781230100541612,0.9635383500902687,6.0,4,2,1,1,0.0,1
00007F5E,3.044194619399243,0.9387091682249155,3.25,4,2,2,2,0.25,1
00007F65,0.676923203776289,0.676923203776289,1.0,2,1,1,1,214.381,1
0001570C,3.9759765362276243,0.952283857132787,4.357438016528925,17,22,8,14,0.0,215
00027465,7.9128972596733265,0.9245233493396297,8.560000000000004,9,5,2,3,0.0,24
0002A8B1,2.2541471999914706,0.8990458623201867,2.5555555555555554,4,3,2,2,0.0,7
00030A1D,2.308179257919072,0.769393085973024,3.0,3,1,1,1,0.0,6
0005004F,1.0900400060838331,0.8973321505201521,1.2222222222222223,6,6,4,5,32.225,23
00051FD3,5.651997291138634,0.9419995485231055,6.0,4,1,1,1,0.0,0
000533C9,5.68266305224817,0.9471105087080285,6.0,4,2,1,1,0.0,0
00055E1D,2.4769835897888886,0.9907934359155556,2.5,5,2,2,2,161.556,0
0005B0D7,0.6581882628460858,0.8775843504614478,0.75,3,2,1,1,6.0,0
00075646,2.853264648765547,0.9510882162551824,3.0,3,1,1,1,0.0,0
0007EAD8,2.1171396024127396,0.8468558409650959,2.5,5,2,2,2,0.0,0
0008251E,2.775774537995358,0.925258179331786,3.0,3,1,1,1,0.0,16
0008706E,2.6398300576973637,0.8799433525657879,3.0,3,2,1,1,4.7667,0
0008B6CF,5.399685177657436,0.8999475296095727,6.0,4,2,1,1,0.0,2
0008EF60,2.7379446178834708,0.9126482059611569,3.0,3,1,1,1,0.0,0
00094148,3.353329116766469,0.8990830567417087,3.75,7,4,3,2,0.0,3
000A5195,0.8898160616137463,0.8898160616137463,1.0,2,2,1,1,0.0,0
000A6D2D,2.6869871797695013,0.9314302114049631,2.98828125,7,16,6,6,5.0,5
000A7BA8,2.401409450994503,0.9528063918686772,2.6264308012487008,18,31,6,12,96.5667,163
000AA4EE,2.6618209089425147,0.955057524756011,2.852237252861604,19,62,16,27,0.0,613
000AF0E7,9.30741013521844,0.930741013521844,10.0,5,1,1,1,199.333,1
000B8F43,3.0617677575704896,0.9366011919989617,3.3950617283950617,8,9,1,7,0.0,2
000BD694,2.8768676791397216,0.9589558930465739,3.0,3,2,2,1,0.0,5
000C1F8C,3.6901668133127727,0.8598712663388064,4.333333333333334,5,3,2,2,2.1667,0
