author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
00007F5E,0.687160312900919,0.9162137505345586,0.75,3,2,2,2,0.25,1
0001570C,0.570839334404029,0.9519971926121242,0.642561983471074,12,22,8,14,0.0,215
0002A8B1,0.20769798738083112,0.93464094321374,0.2222222222222222,2,3,2,2,0.0,7
00030A1D,0.8565940031115121,0.8565940031115121,1.0,2,1,1,1,0.0,6
0005004F,0.10652033041263781,0.7669463789709923,0.1388888888888889,2,6,4,5,32.225,23
00075646,0.9386005470181407,0.9386005470181407,1.0,2,1,1,1,0.0,0
0007EAD8,0.6055499393847216,0.8073999191796288,0.75,3,2,2,2,0.0,0
0008251E,0.873705767627152,0.873705767627152,1.0,2,1,1,1,0.0,16
00094148,0.5128373294916857,0.9045075561802407,0.5625,4,4,3,2,0.0,3
000A6D2D,0.17337863217269106,0.789263541241693,0.2421875,3,16,6,6,5.0,5
000A7BA8,0.5761142643689517,0.9232785692123868,0.6555671175858481,9,31,6,12,96.5667,163
000AA4EE,0.6367969404430015,0.942988794258675,0.6753381893860564,13,62,16,27,0.0,613
000B8F43,0.4516945995204788,0.863635212466958,0.5185185185185185,4,9,1,7,0.0,2
000BD694,0.9763342494735938,0.9763342494735938,1.0,2,2,2,1,0.0,5
000CA19E,0.9702983473642605,0.9702983473642605,1.0,2,1,1,1,0.0,1
000CE250,0.4768748019071137,0.8964259469447109,0.5555555555555556,3,6,3,2,4.7,1
000E492E,0.5200389917452212,0.9193805400092258,0.5625,4,4,3,4,0.0,0
000EE8ED,0.7090276091478109,0.870029552325665,0.8125,4,4,2,3,0.0,2
000F6D55,0.7368603131085889,0.8867062550733616,0.875,3,4,1,2,4.05,1
000F93F2,0.2339065631346668,0.9356262525386672,0.25,2,2,2,2,3.0,2
000FB9C9,0.31909333715919824,0.8480500731185674,0.40495867768595045,5,11,6,7,25.2583,15
00100EC5,0.352274905152586,0.8851738800735706,0.40625,3,8,5,5,0.0,59
0011BBDD,0.3441298315558605,0.9397742198333228,0.39532871972318356,9,34,14,8,0.0,253
0011CE9B,0.9636511243982258,0.9636511243982258,1.0,2,2,2,1,0.0,2
0012C604,0.9702983473642605,0.9702983473642605,1.0,2,2,1,1,4.0,0
0012E188,0.6792272740140769,0.91822355360754,0.7732426303854876,8,21,6,7,204.9,111
001375EB,0.377771766687939,0.9749452720162636,0.38888888888888884,3,6,4,3,119.817,52
00146176,0.9127381264108997,0.9127381264108997,1.0,2,1,1,1,14.0833,0
0014B87B,1.1211532811038198,0.9085748814056807,1.25,3,2,2,1,33.8333,1
0014BD56,0.8213929357512297,0.8213929357512297,1.0,2,2,2,1,18.3833,9
00180A45,0.4872827933365095,0.974565586673019,0.5,2,2,1,1,0.0,0
0018A991,0.21493745312181628,0.789263541241693,0.265625,3,8,3,5,62.75,95
0018BCC2,0.10760668831449742,0.9684601948304767,0.1111111111111111,2,3,3,2,4.5833,11
0018C15E,0.38733102551563536,0.7746620510312707,0.5,2,4,2,2,0.0,0
001AF55D,1.1873727745441869,0.9697782099518505,1.2222222222222223,3,3,2,3,0.0,1
001C3BA5,0.2876048921141221,0.7669463789709923,0.375,2,4,3,4,11.0833,12
001C7E63,0.8171616523216378,0.8171616523216378,1.0,2,2,2,2,0.0,0
001E23B3,0.9850497479852678,0.9850497479852678,1.0,2,1,1,1,0.3333,1
001E5C01,0.19366551275781768,0.7746620510312707,0.25,2,2,1,1,9.0714,0
001E6D65,0.11005549991437479,0.8987865826340606,0.12244897959183673,2,7,5,4,0.0,100
001F472E,0.842133015632381,0.9507297586971212,0.8888888888888888,3,3,3,2,0.0,5
00202FF0,0.06447308035828095,0.8668047470391105,0.0743801652892562,2,11,2,6,42.6667,0
0020459B,0.24756339980986766,0.9902535992394706,0.25,2,2,2,2,0.0,6
0020A30A,0.6079753116103025,0.9119629674154537,0.6666666666666667,4,3,2,3,0.0,0
00219748,0.05866253418863379,0.9386005470181407,0.0625,2,4,2,4,0.0,1
0022626E,0.17598760256590137,0.9386005470181407,0.1875,2,4,2,2,0.0,0
0022CB8E,0.17500710883139536,0.9333712471007753,0.1875,2,4,2,3,11.0,10
0023E734,0.5011782596218486,0.9178294091383222,0.5555555555555556,3,3,3,3,0.0,2
002415AE,0.2950579600245235,0.8851738800735706,0.3333333333333333,3,3,1,2,0.0,1
00244956,0.38058847531273776,0.894139805525641,0.4305555555555556,8,12,2,4,0.0,0
0024EF92,0.2717699283670366,0.8536179231393244,0.33120000000000005,5,25,12,11,854.641,51
002513FA,0.16497132666169906,0.8581888633810704,0.19897959183673466,3,14,6,8,0.0,0
00270C72,0.4063759111540801,0.9143458000966803,0.4444444444444444,2,3,2,1,1.0,0
00275E34,0.04841637818945442,0.7746620510312707,0.0625,2,4,1,2,0.0,0
002A9980,0.4370834414638684,0.8741668829277368,0.5,2,2,1,2,0.0,0
002AAF7A,0.5049372068679577,0.9253202573512743,0.6066597294484911,9,31,11,12,193.817,434
002AD975,0.38347318948549614,0.7669463789709923,0.5,2,2,1,2,9.6667,0
002BE383,1.4532656119533607,0.8762988106357921,1.625,6,4,1,3,0.0,0
002C06DE,0.886591674615433,0.9504292790820092,0.9375,3,4,3,3,4.7333,0
002C64E1,0.4343996808358593,0.8651337903615477,0.48148148148148145,5,9,7,2,9.1221,8
002D6052,0.8817595332969274,0.8817595332969274,1.0,2,1,1,1,0.0,0
002D9C1E,0.5549190053958409,0.9493317829013274,0.5966238347190727,12,63,15,12,0.0,655
002E1927,0.21106690566091402,0.8785462689912679,0.25259515570934254,5,17,11,12,70.2,97
002E3B70,0.21663935561849923,0.8509257628124984,0.24221453287197234,4,17,2,9,20.25,3
002F53CC,0.7776124523771095,0.8619702158620289,0.861111111111111,5,6,4,4,0.0,6
002F7C6F,2.894726021971997,0.9649086739906658,3.0,3,1,1,1,0.0,0
002FFD07,0.24776111617255553,0.9910444646902221,0.25,2,4,1,2,0.0,0
0030179D,0.22608254148571555,0.9043301659428622,0.25,2,2,1,2,24.6167,1
00303D29,0.19366551275781768,0.7746620510312707,0.25,2,2,2,2,0.0,1
00305B29,0.922172554087206,0.922172554087206,1.0,2,2,1,1,0.0,0
00337ACB,0.3159741177349031,0.8493631779126517,0.4081632653061224,3,7,5,3,27.0833,11
0033DA19,0.4525340916351337,0.9050681832702674,0.5,2,2,1,1,0.0,0
0033DC68,0.9053573237110487,0.9053573237110487,1.0,2,2,1,1,0.0,0
0034ECD8,0.16923080094407225,0.676923203776289,0.25,2,2,2,2,0.0,6
003595BC,0.24862152150269837,0.9944860860107935,0.25,2,2,1,2,0.25,0
00360BFB,0.10409838056334417,0.8323332873853124,0.12426035502958581,4,13,2,7,0.0,112
00365B49,0.05406210341268902,0.9553012643242662,0.05612244897959183,3,14,5,12,0.0,9
00366FE0,0.16179046745827574,0.8697405169034095,0.20987654320987653,4,9,6,4,13.4167,27
0036E553,0.10280242994244974,0.9252218694820477,0.1111111111111111,2,3,2,2,5.4762,1
00377479,0.11780609625762854,0.9424487700610283,0.125,2,4,2,2,19.5583,15
0037B555,0.8892210639850479,0.9457052204614422,0.9375,3,4,3,3,1.0,19
0037DB1D,0.873705767627152,0.873705767627152,1.0,2,1,1,1,0.0,0
00389A78,0.1871448866140208,0.9357244330701039,0.2,2,5,4,3,85.85,183
0038D641,0.8886152928954266,0.8886152928954266,1.0,2,1,1,1,28.5,0
0039789D,0.9539123653069884,0.8073999191796288,1.1600000000000001,3,5,3,4,4.6333,10
0039C861,0.9786740888157177,0.9786740888157177,1.0,2,1,1,1,6.75,0
003AADD2,0.9043301659428623,0.9043301659428622,1.0,2,3,1,1,0.0,0
003B0806,0.38347318948549614,0.7669463789709923,0.5,2,2,1,2,0.0,0
003B58CA,0.21586248191632962,0.8726158874688489,0.25826446280991744,6,22,7,10,68.8881,84
003CEACC,0.9426871676129017,0.9426871676129017,1.0,2,1,1,1,0.0,1
003D878C,0.676923203776289,0.676923203776289,1.0,2,2,1,1,0.0,0
003F6379,0.17568508597284727,0.9532060897199581,0.19,3,10,4,7,0.0,20
003F6696,0.1657771111288871,0.676923203776289,0.24489795918367346,2,7,1,4,0.0,0
0041F32B,0.5318099362230903,0.9271761661602609,0.5877551020408163,7,35,15,17,142.333,700
0041FB55,0.5758094759816069,0.900489982315166,0.6938775510204084,5,7,3,5,0.0,3
00450942,0.17043252866022052,0.7669463789709923,0.2222222222222222,2,3,3,2,0.0,0
0045A8D0,0.10269703938217584,0.9242733544395826,0.1111111111111111,2,3,3,2,0.0,10
0046881A,0.05532820388030211,0.9563875242166507,0.05785123966942149,2,11,1,4,3.3333,1
00475825,0.9866041083059309,0.9866041083059309,1.0,2,1,1,1,0.75,0
0047FB13,0.5929057671656822,0.789263541241693,0.7407407407407407,3,9,6,7,1.0,22
0048730D,0.3173850883281971,0.9051101528391174,0.3777777777777778,5,15,7,7,5.4227,31
00499893,0.08607356122569675,0.7746620510312707,0.1111111111111111,2,6,5,4,0.0,13
004A418E,0.8565350056873062,0.8565350056873062,1.0,2,1,1,1,48.6667,0
004A5A26,0.020777974723303734,0.9376061093890811,0.0221606648199446,2,19,2,8,0.0,5
004B55D8,0.8675602403155742,0.8675602403155742,1.0,2,2,1,1,0.0,3
004BEC3A,0.29514599745603864,0.8896313758917909,0.35937500000000006,5,24,8,10,100.875,234
004C2A7E,0.873705767627152,0.873705767627152,1.0,2,2,1,1,0.0,0
004C57D6,0.873705767627152,0.873705767627152,1.0,2,2,1,1,0.0,0
004C820F,0.3261127996032839,0.9219568780372018,0.347645429362881,7,38,13,21,0.0,167
004D4A0C,0.9176943171788262,0.9176943171788262,1.0,2,1,1,1,0.0,1
004EDF4D,2.8435550841620847,0.9478516947206949,3.0,3,1,1,1,0.0,0
00505CFB,2.687294325541139,0.8957647751803797,3.0,3,1,1,1,0.0,0
0050777E,0.9356262525386672,0.9356262525386672,1.0,2,1,1,1,0.0,0
0051921E,0.6077829540705311,0.8856617685567383,0.6875,3,4,2,4,22.9833,1
0051CF6D,0.19878812674206722,0.8950867783212465,0.2231404958677686,7,11,6,7,0.0,26
0051E03F,0.31967539709088966,0.8887511066948861,0.36111111111111116,4,6,4,3,12.5667,1
0052790D,0.7032862515796028,0.8694423549679647,0.8163265306122449,6,7,4,3,0.0,0
0055CF35,0.4085808261608189,0.8171616523216378,0.5,2,2,1,1,0.0,7
0057ABE7,0.9043301659428622,0.9043301659428622,1.0,2,2,1,1,0.0,0
0059CB24,0.19152226226288388,0.8171616523216378,0.234375,2,8,5,5,1.0,38
005A72E3,0.461086277043603,0.922172554087206,0.5,2,2,1,2,0.0,0
005B2E87,0.2054987512376184,0.9188677567443271,0.23076923076923078,4,13,6,7,0.0,24
005B7CDE,0.21304711133811927,0.8965050771967525,0.2345679012345679,5,9,3,6,0.0,0
005BA575,0.17967174982769274,0.8881054493744542,0.21000000000000002,3,10,6,5,0.0,96
005C32E4,0.24576495454483172,0.9830598181793269,0.25,2,2,1,2,2.1667,2
005C3FAF,0.8675602403155742,0.8675602403155742,1.0,2,1,1,1,0.0,1
005D4E88,1.3864543301165353,0.8751567441358737,1.6666666666666665,3,3,2,3,0.0,34
005D8B1E,0.5543159518926801,0.8938211426944688,0.6193771626297577,8,17,9,7,127.833,185
005E6513,0.936331108294097,0.936331108294097,1.0,2,2,2,2,0.0,0
005EC9B4,0.23104509787904556,0.9460925041903039,0.24691358024691357,3,9,4,4,3.1429,13
006014AC,0.22626704581756685,0.9050681832702674,0.25,2,2,1,2,25.0833,2
00601954,0.4205949477459002,0.8898436668352112,0.49999999999999994,5,10,7,7,0.0,45
00631888,0.5396516632164949,0.9215123763070701,0.6444636678200698,8,34,13,16,176.778,262
006375B2,0.4615688171654674,0.9437440209970271,0.5295138888888897,13,48,12,18,0.0,234
0063BA78,0.28222229706020263,0.9085305009169848,0.3125,3,4,3,3,28.8833,5
0064019B,0.2339065631346668,0.9356262525386672,0.25,2,2,2,2,0.0,0
006412A5,0.21670118675977762,0.8668047470391105,0.25,2,2,2,2,0.0,0
006457A2,0.15343690904702972,0.869634595442606,0.18518518518518517,3,9,2,5,0.0,1
00648C37,0.7106968220229871,0.8828439444743806,0.7777777777777777,3,3,1,3,0.0,0
0065AF62,0.5081057347707267,0.9314933162275079,0.56,3,5,3,2,44.1981,55
0065B440,0.013658857545745888,0.8741668829277368,0.015625,2,8,6,3,2.8333,42
00660B88,0.292319271020023,0.7203919675702085,0.4375,3,4,2,4,0.0,85
0066A6B2,0.08922122169250418,0.8029909952325376,0.1111111111111111,2,3,2,1,0.0,0
0066A8A9,0.38347318948549614,0.7669463789709923,0.5,2,4,1,2,0.0,4
0066B291,0.42205738343185645,0.9224178173070017,0.4693877551020408,4,7,3,4,0.0,0
006808E6,0.29563337386107813,0.9757552737367109,0.3055555555555556,3,6,5,5,44.125,2
00681199,0.6290633983204872,0.8387511977606497,0.75,3,2,2,2,0.0,16
0068DE67,1.1208217073433149,0.8437954319463161,1.326530612244898,5,7,3,5,0.0,122
0068F100,0.9075044149441346,0.9075044149441346,1.0,2,1,1,1,42.3198,1
00696A18,0.6899034567442748,0.919871275659033,0.75,3,2,2,2,0.0,0
006B0607,0.6396296417067965,0.900411881808469,0.71900826446281,3,11,4,7,0.0,21
006B30E7,0.44080456448323313,0.44080456448323313,1.0,2,1,1,1,0.0,0
006B882D,0.40239788514513836,0.9079972951556038,0.4375,3,4,1,2,0.0,3
006BF23A,0.4678131262693336,0.9356262525386672,0.5,2,2,2,1,4.5,14
006C2812,0.983220654862418,0.9064237247185015,1.1111111111111112,6,6,2,3,0.0,4
006CEAEF,0.16335079468994423,0.9075044149441346,0.18,2,10,2,3,0.0,8
006E6056,0.9426871676129017,0.9426871676129017,1.0,2,1,1,1,442.011,0
006FA76B,0.9355119574233721,0.9355119574233721,1.0,2,2,2,1,12.2,11
0071EC11,0.1357394533090697,0.8828978007653062,0.16326530612244897,3,7,6,4,68.149,26
0071FC07,0.07394186835516661,0.9242733544395826,0.08,2,5,2,3,0.0,0
00721836,0.7669463789709923,0.7669463789709923,1.0,2,1,1,1,0.0,0
0072320D,0.20982484387517292,0.9232468415106219,0.234375,3,8,4,6,11.8431,23
00736313,0.3449147886875609,0.9580966352432247,0.36,2,5,1,1,0.0,0
007379FA,0.19747006508787257,0.8886152928954266,0.2222222222222222,2,3,1,3,0.0,0
0073E3EC,0.4512821358508593,0.676923203776289,0.6666666666666666,2,6,6,4,0.0,3
0074492F,0.577044814479768,0.769393085973024,0.75,3,4,3,2,0.0,2
0076BC63,0.9613798092605293,0.789263541241693,1.2448979591836735,3,7,6,5,6.4167,21
0077154D,0.9639030934729008,0.9639030934729008,1.0,2,1,1,1,0.0,0
0078420F,0.978516453576307,0.978516453576307,1.0,2,1,1,1,0.0,0
0078FE78,0.23660746282419254,0.9464298512967702,0.25,2,4,2,4,17.8333,23
007900D3,0.060645620894740154,0.9905451412807559,0.061224489795918366,2,7,1,4,0.0,2
0079010F,0.3775171787721097,0.8949685381375605,0.4380165289256198,4,11,8,4,0.0,9
0079B329,0.10484636731033659,0.6836996717867658,0.15702479338842976,3,11,7,4,4.4167,9
0079B8D0,0.489737023895274,0.8680429867730022,0.5925925925925926,4,9,4,5,0.0,7
007A2917,0.9102340753516568,0.9102340753516568,1.0,2,2,1,1,2.0,0
007BCC12,0.5229834574858482,0.8171616523216378,0.64,2,5,4,1,1.95,2
007D55A7,0.922172554087206,0.922172554087206,1.0,2,2,1,1,0.3333,0
007DF813,0.05645060536910966,0.9032096859057546,0.0625,2,4,2,4,8.6524,11
007F2313,0.09203356547651907,0.7669463789709923,0.12,2,5,2,5,0.0,0
008054BE,0.966137636605571,0.966137636605571,1.0,2,2,1,1,0.0,2
00807775,2.5210237037989423,0.8403412345996474,3.0,3,2,1,1,0.0,0
0080A17A,0.671771466048634,0.8956952880648453,0.75,3,2,2,2,0.0,0
0081574A,0.10652033041263781,0.7669463789709923,0.1388888888888889,2,6,2,4,0.0,12
0081BD8C,0.7841530310216529,0.869634595442606,0.8888888888888888,3,6,1,3,0.0,4
00835C17,0.22215382322385666,0.8886152928954266,0.25,2,2,1,1,0.0,1
00837BA8,0.7669463789709923,0.7669463789709923,1.0,2,1,1,1,0.0,0
0084B031,0.22245401540343657,0.8898160616137463,0.25,2,2,2,2,0.0,0
0085D46A,0.4137911182918856,0.8275822365837712,0.5,2,2,2,2,0.5,1
00862132,0.7679551906973618,0.930724632287946,0.8333333333333335,6,6,5,4,0.0,12
00864F7D,0.7612848652207124,0.9198433965492183,0.8300000000000003,6,10,4,5,50.4333,8
008656B3,0.8675602403155742,0.8675602403155742,1.0,2,1,1,1,0.9,0
00879722,0.5208161231376539,0.9390483866640499,0.5555555555555555,7,18,8,12,81.1333,188
008820C9,0.4554300787515131,0.9031613596599695,0.5086805555555556,5,24,5,12,409.402,267
008822AF,0.21212920438588406,0.8530258293810544,0.2809917355371901,3,11,6,6,0.0,15
0088B7E4,0.8898160616137463,0.8898160616137463,1.0,2,1,1,1,13.9,0
0088D0C0,0.5762114433673773,0.789263541241693,0.7037037037037037,3,9,7,5,0.0,51
0089026B,0.8209646920475302,0.9304363767962056,0.9166666666666667,4,6,3,3,3.1881,2
00895A8D,0.6330985993423018,0.8774606662056471,0.7551020408163267,5,7,5,6,0.0,14
008979C3,0.8803715572007977,0.8803715572007977,1.0,2,2,1,1,0.5,0
008A2CAF,0.2501733857816809,0.8980459884221399,0.2963988919667589,6,19,5,11,0.0,32
