author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
0048730D,0.03610257086806874,0.676923203776289,0.05333333333333334,2,15,7,7,5.4227,31
00499893,0.04303678061284837,0.7746620510312707,0.05555555555555555,2,6,5,4,0.0,13
004BEC3A,0.04818171382687873,0.8387511977606497,0.060763888888888895,3,24,8,10,100.875,234
004C820F,0.07822207609942061,0.9502864258716659,0.08240997229916898,4,38,13,21,0.0,167
0051CF6D,0.04211173403861463,0.8492533031120618,0.049586776859504134,4,11,6,7,0.0,26
0051E03F,0.09886845129041626,0.8898160616137463,0.1111111111111111,2,6,4,3,12.5667,1
0052790D,0.03496302053516376,0.8565940031115121,0.04081632653061224,2,7,4,3,0.0,0
005B2E87,0.05430143888632107,0.9176943171788262,0.05917159763313609,2,13,6,7,0.0,24
005B7CDE,0.01912745805015483,0.7746620510312707,0.024691358024691357,2,9,3,6,0.0,0
005C3FAF,0.8675602403155742,0.8675602403155742,1.0,2,1,1,1,0.0,1
005D8B1E,0.13073703609884213,0.8965315623386007,0.1453287197231834,4,17,9,7,127.833,185
005EC9B4,0.021584367479697206,0.8741668829277368,0.024691358024691357,2,9,4,4,3.1429,13
00601954,0.04647972306187624,0.7746620510312707,0.06,2,10,7,7,0.0,45
00631888,0.04851887879221603,0.8446721430961254,0.06314878892733564,4,34,13,16,176.778,262
006375B2,0.11286488121306058,0.9285201218214895,0.13237847222222224,7,48,12,18,0.0,234
0063BA78,0.17034946892193464,0.9085305009169848,0.1875,3,4,3,3,28.8833,5
00648C37,0.3154766170989234,0.9464298512967702,0.3333333333333333,2,3,1,3,0.0,0
0065AF62,0.13979292282034433,0.873705767627152,0.16,2,5,3,2,44.1981,55
00660B88,0.1350734939194141,0.7203919675702085,0.1875,3,4,2,4,0.0,85
0068DE67,0.031303933835550704,0.7669463789709923,0.04081632653061224,2,7,3,5,0.0,122
006B0607,0.23828339117104144,0.873705767627152,0.2727272727272727,2,11,4,7,0.0,21
006C2812,0.12568443331267642,0.9098150163755664,0.1388888888888889,3,6,2,3,0.0,4
0071EC11,0.027629518521481183,0.676923203776289,0.04081632653061224,2,7,6,4,68.149,26
0072320D,0.07494895272850745,0.9593465949248954,0.078125,2,8,4,6,11.8431,23
00736313,0.11497159622918698,0.9580966352432247,0.12,2,5,1,1,0.0,0
0073E3EC,0.1504273786169531,0.676923203776289,0.2222222222222222,2,6,6,4,0.0,3
0076BC63,0.2072213889111089,0.676923203776289,0.30612244897959184,2,7,6,5,6.4167,21
007900D3,0.060645620894740154,0.9905451412807559,0.061224489795918366,2,7,1,4,0.0,2
0079010F,0.038323964094838875,0.9274399310951008,0.04132231404958678,2,11,8,4,0.0,9
0079B329,0.0639939015944341,0.6836996717867658,0.09090909090909091,3,11,7,4,4.4167,9
0079B8D0,0.0775421847679495,0.7502141404960694,0.09876543209876543,3,9,4,5,0.0,7
007BCC12,0.2614917287429241,0.8171616523216378,0.32,2,5,4,1,1.95,2
0080A17A,0.23826930455959247,0.9530772182383699,0.25,2,2,2,2,0.0,0
0081BD8C,0.10219831702995776,0.9197848532696198,0.1111111111111111,2,6,1,3,0.0,4
00862132,0.07838289510378278,0.9405947412453934,0.08333333333333333,3,6,5,4,0.0,12
00864F7D,0.3055184813899977,0.9721574979117161,0.31999999999999995,4,10,4,5,50.4333,8
00879722,0.07172728496448656,0.9613540112765644,0.07407407407407407,5,18,8,12,81.1333,188
008820C9,0.1261337799097975,0.8638405569738189,0.1440972222222222,4,24,5,12,409.402,267
008822AF,0.09150870993006281,0.8530258293810544,0.11570247933884298,3,11,6,6,0.0,15
0088D0C0,0.38833728559528946,0.789263541241693,0.48148148148148145,3,9,7,5,0.0,51
00895A8D,0.01783072995157453,0.873705767627152,0.02040816326530612,2,7,5,6,0.0,14
008A2CAF,0.010729391288521756,0.7746620510312707,0.013850415512465374,2,19,5,11,0.0,32
008A617C,0.38733102551563536,0.7746620510312707,0.5,2,2,2,2,2.1667,1
008D2BF7,0.943226029435427,0.943226029435427,1.0,2,2,1,1,0.0,0
008EC593,0.13581081956122612,0.769393085973024,0.19140625,3,16,8,11,140.643,19
008F8067,0.07377380432697649,0.922172554087206,0.08,2,5,2,4,0.0,0
0090A35D,0.03268646609286551,0.8171616523216378,0.04,2,5,3,4,59.6167,5
009184B4,0.040491380288917814,0.9920388170784864,0.04081632653061224,2,7,4,5,4.4167,8
00945E4B,0.1042889496686823,0.9386005470181407,0.1111111111111111,2,3,2,2,0.0,1
00949CA2,0.01912745805015483,0.7746620510312707,0.024691358024691357,2,9,4,7,0.0,9
0094C53F,0.233660235803435,0.93464094321374,0.25,2,2,1,2,3.45,0
009D2ABC,0.7669463789709923,0.7669463789709923,1.0,2,2,1,1,0.0,0
009FA024,0.02529937740430037,0.9107775865548133,0.027777777777777776,2,6,4,3,0.0,4
009FB163,0.04937048622500831,0.9114541814948138,0.05371900826446281,3,22,7,15,70.5298,85
00A41246,0.32055733946161835,0.8410635355683049,0.3553719008264463,5,11,6,9,0.0,30
00A46999,0.06260786767110141,0.7669463789709923,0.08163265306122448,2,7,1,6,0.0,3
00A4A5DC,0.18399548161526025,0.981309235281388,0.1875,2,4,2,3,37.65,12
00A4F9A8,0.16923080094407225,0.676923203776289,0.25,2,2,2,2,9.7,2
00A7527D,0.7746620510312707,0.7746620510312707,1.0,2,2,2,1,0.75,8
00A8805D,0.1484100417888204,0.8324607765557882,0.19008264462809918,4,11,5,7,1.0,33
00A8C808,0.06216401024156527,0.890850208419538,0.06925207756232687,4,19,11,9,104.533,79
00A90753,0.2087787231368413,0.9395042541157858,0.2222222222222222,2,3,1,3,0.0,2
00A96826,0.02030769611328867,0.676923203776289,0.03,2,20,9,9,0.0,70
00AC3E79,0.24155470913800606,0.9662188365520242,0.25,2,2,2,1,0.0,0
00AD27A5,0.14524913456836325,0.7746620510312707,0.1875,2,4,3,2,12.0,28
00ADE11B,0.033353536829454605,0.8171616523216378,0.04081632653061224,2,14,7,10,0.5,66
00B0399B,0.05631335836344611,0.9197848532696198,0.061224489795918366,2,7,1,6,0.0,4
00B3022C,0.22984830680979187,0.9193932272391675,0.25,2,2,2,2,0.0,0
00B3EAB8,0.13939992064062723,0.9139239713490477,0.15289256198347106,6,22,6,10,318.883,209
00B78B1E,0.08922122169250418,0.8029909952325376,0.1111111111111111,2,3,2,2,0.0,0
00BEE616,0.058162393898550505,0.8819295491320955,0.0650887573964497,3,13,2,9,0.0,37
00C3C95E,0.1504273786169531,0.676923203776289,0.2222222222222222,2,6,1,2,0.0,4
00C83CA2,0.16923080094407225,0.676923203776289,0.25,2,2,2,2,4.2833,0
00CD1BDC,0.23744810423178114,0.9497924169271246,0.25,2,2,2,2,2.1667,2
00CDA499,0.026072237417170574,0.9386005470181407,0.027777777777777776,2,6,5,4,0.0,1
00CF739B,0.05415385630210312,0.676923203776289,0.08,2,5,2,3,2.6667,4
00D127F7,0.08839660320961151,0.8705340783862633,0.09876543209876543,3,9,6,2,8.3762,44
00D53EEB,0.17281052103605277,0.8873157943831649,0.2067901234567901,5,18,9,8,237.861,57
00D6D4F3,0.273855510756353,0.8828439444743806,0.32,3,5,4,4,0.0,18
00D741CF,0.7669463789709923,0.7669463789709923,1.0,2,2,1,1,3.0996,0
00DA2591,0.0281606754391813,0.9529280427131572,0.03,4,20,9,11,0.0,191
00DDCA7C,0.1823884327963299,0.8047215660019578,0.2326388888888889,3,24,12,9,1.0,135
00E040BA,0.035107352375658846,0.9478985141427887,0.037037037037037035,3,9,2,6,0.0,22
00E2C5C2,0.9414722194767863,0.9414722194767863,1.0,2,2,1,1,0.0,0
00E2D0CD,0.3173850862902359,0.9521552588707077,0.3333333333333333,3,3,3,3,294.041,0
00E4B8E3,0.1790489048209185,0.9549274923782319,0.1875,3,4,3,4,0.0,7
00E7324C,0.981309235281388,0.981309235281388,1.0,2,1,1,1,1.25,1
00E8162E,0.24014754193842766,0.8889772588331871,0.26530612244897955,4,7,2,5,0.5,17
00E8352A,0.013179219792786065,0.6836996717867658,0.0175,3,20,8,10,0.25,95
00E8943C,0.14821662668424213,0.9516807291108074,0.15555555555555556,4,15,5,12,0.0,9
00E9DD7A,0.12556359864542382,0.9098150163755664,0.1388888888888889,3,6,3,5,0.0,3
00EADA93,0.03467218988156442,0.8668047470391105,0.04,2,5,3,4,0.0,0
00EBB277,0.23334281177519384,0.9333712471007753,0.25,2,2,2,2,0.0,6
00ED31DC,0.2354792475196251,0.769393085973024,0.3125,3,8,5,4,28.65,18
00EDBA24,0.10222474581937052,0.8530258293810544,0.11805555555555555,3,12,9,8,32.5857,44
00EF3C70,0.2604523617847138,0.9023009409957855,0.28494943486020224,5,41,18,23,648.24,285
00F07CAA,0.27967173031499515,0.8390151909449854,0.3333333333333333,3,3,2,2,19.6,1
00F0EC4A,0.18253176350027328,0.8213929357512297,0.2222222222222222,2,3,2,1,0.0,0
00F3BD0E,0.13777079305293558,0.9383506074818702,0.14814814814814814,4,9,6,5,42.1167,58
00F5DD3E,0.0890375796133371,0.789263541241693,0.11531190926275992,3,23,13,9,0.0,253
00F6A6B9,0.245327308820347,0.981309235281388,0.25,2,4,2,3,0.8333,2
00F6F06E,0.07412243700970864,0.8614787329819111,0.10743801652892562,5,33,16,11,0.0,219
00FD7AC4,0.07521368930847655,0.676923203776289,0.1111111111111111,2,3,1,3,42.4155,6
00FDB38C,0.07053251945124248,0.8504363882572323,0.1072,4,25,10,10,0.0,126
0104284F,0.7669463789709923,0.7669463789709923,1.0,2,1,1,1,2.0,1
01050630,0.010238739464380687,0.873705767627152,0.01171875,2,16,7,9,30.4292,67
0109B223,0.11780609625762854,0.9424487700610283,0.125,2,4,1,3,0.0,1
010B5EF2,0.10623433337894995,0.8498746670315996,0.125,2,4,2,1,0.0,1
010B8D0A,0.08772416560032224,0.9357244330701039,0.09375,2,8,3,5,13.3667,1
010DBF73,0.2007477488081344,0.8029909952325376,0.25,2,4,1,2,4.0833,0
010EB36C,0.16923080094407225,0.676923203776289,0.25,2,2,2,2,14.2262,0
010ED983,0.2068955591459428,0.8275822365837712,0.25,2,2,2,2,25.6667,2
010F091C,0.06455517091927256,0.7746620510312707,0.08333333333333333,2,6,4,4,0.0,1
0110013D,0.08338942595882848,0.9305465769280235,0.09261186264308015,5,31,9,13,0.0,70
0110414E,0.12591349476215327,0.9192056560735196,0.14419753086419757,8,45,10,18,0.0,557
0111CC6A,0.019074304963545716,0.93464094321374,0.02040816326530612,2,7,3,6,0.0,11
0112ECA1,0.06989646141017217,0.873705767627152,0.08,2,5,5,3,7.5,2
011300A3,0.05742406363703235,0.8710661785319508,0.06658739595719382,4,29,11,5,27.7548,709
011C662E,0.006418654186046662,0.9242862027907193,0.006944444444444444,2,12,4,4,45.05,124
011E7189,0.029740407230834726,0.8029909952325376,0.037037037037037035,2,9,4,6,0.0,13
0127E87C,0.23561219251525709,0.9424487700610283,0.25,2,2,2,2,0.0,1
012D5D5A,0.4637199655475504,0.9274399310951008,0.5,2,2,2,2,42.9,34
01306EDD,0.17369612929369121,0.789263541241693,0.2345679012345679,3,9,7,5,16.6929,45
01321988,0.05422251501972339,0.8675602403155742,0.0625,2,4,2,4,0.0,15
013356C8,0.12221554267023625,0.8849841920686701,0.13609467455621302,3,13,3,6,399.045,28
013478B1,0.04262481990821033,0.9396688086462677,0.04740740740740742,8,90,17,16,0.0,451
0134F354,0.06610641554482556,0.8073999191796288,0.09261186264308012,3,31,10,16,0.0,153
0136AB6F,0.14695050637466645,0.900071851544832,0.16326530612244897,2,7,5,3,0.0,5
01386862,0.09683275637890884,0.7746620510312707,0.125,2,4,3,3,0.0,0
013B8B55,0.03630515403412981,0.7669463789709923,0.047337278106508875,2,13,5,8,0.6667,49
013C9335,0.07420744847319607,0.8772450556257162,0.083984375,6,32,3,20,0.0,14
013E14E4,0.21224148473431015,0.9613385389744952,0.2222222222222222,3,6,3,3,17.1167,1
013E2539,0.10515887236630779,0.9464298512967702,0.1111111111111111,2,6,4,4,0.0,12
013FA46D,0.6290633983204872,0.8387511977606497,0.75,3,2,2,2,0.0,1
0141EE74,0.11066600729018153,0.7746620510312707,0.14285714285714285,2,14,6,9,533.358,274
0143EA7F,0.05415385630210312,0.676923203776289,0.08,2,5,4,4,318.833,6
01478698,0.06531361085357398,0.8474460597251985,0.07958477508650517,4,17,5,8,72.1,13
014845C2,0.4843867770017556,0.9687735540035112,0.5,2,2,2,1,1.0,3
014CBC3A,0.1291103418385451,0.7746620510312707,0.16666666666666666,2,6,4,4,0.0,13
01523DEA,0.17350352407868555,0.9593132942931244,0.1868512110726644,7,34,11,17,0.0,288
01524549,0.1523809773011578,0.8364432777383839,0.18055555555555552,3,12,4,8,0.0,4
015417CD,0.13599936796641254,0.8561151757323217,0.16,3,10,6,3,0.0,0
015808CD,0.8803715572007977,0.8803715572007977,1.0,2,2,1,1,0.0,0
015AE474,0.027752662112459022,0.9990958360485248,0.027777777777777776,2,6,5,4,0.0,21
015CD60C,0.38733102551563536,0.7746620510312707,0.5,2,4,4,2,5.7,7
015DF965,0.1514955810313071,0.7669463789709923,0.19753086419753085,2,9,2,4,0.0,2
016126AA,0.564964039816799,0.8474460597251985,0.6666666666666667,4,3,1,3,0.0,0
016316EF,0.21278402633874838,0.9550022452022531,0.2222222222222222,3,6,3,4,0.0,27
01652FC9,0.2847411397163988,0.8898160616137463,0.32,2,5,2,3,0.3333,3
0166C011,0.013001866635707883,0.9299938778818448,0.013886133703630232,4,71,12,24,0.0,607
01697535,0.05671902593400841,0.9075044149441346,0.0625,2,4,4,4,17.4619,0
0169AF72,0.22043988332423184,0.8817595332969274,0.25,2,2,1,2,0.0,0
016C56D8,0.24862152150269837,0.9944860860107935,0.25,2,2,1,1,0.0,0
01702841,0.11050267112445092,0.9197607772906184,0.11999999999999998,4,10,5,6,7.1667,9
0171EF4F,0.012514673960241876,0.9386005470181407,0.013333333333333334,2,15,5,7,177.295,7
01723B29,0.1437163833233781,0.9197848532696198,0.15625,2,8,1,3,0.0,2
0172FDBA,0.08607356122569675,0.7746620510312707,0.1111111111111111,2,3,3,2,0.0,23
01739927,0.11613093085794948,0.9605181849700507,0.12499999999999999,5,24,8,10,0.0,90
0174A948,0.2035061176535617,0.9157775294410276,0.2222222222222222,2,3,2,3,0.0,2
01752EBF,0.05525903704296237,0.676923203776289,0.08163265306122448,2,7,6,5,126.452,22
01775353,0.009395042541157857,0.9395042541157858,0.01,2,10,8,6,1.25,6
01785693,0.051908843045987065,0.8705340783862633,0.05882352941176471,3,17,8,6,29.7,94
017AF9A4,0.09709368542452279,0.9176356633000601,0.10714285714285714,4,14,7,8,0.0,80
017D4AAF,0.10854167491763511,0.9489376624661078,0.1312,5,25,10,19,0.0,97
017EDC3A,0.11527156926090075,0.922172554087206,0.125,2,8,1,4,0.0,5
017F44EF,0.13158624840048336,0.9357244330701039,0.140625,2,16,7,7,36.8333,38
0181DFCC,0.676923203776289,0.676923203776289,1.0,2,3,2,3,0.0,33
0189A70C,0.1076500954575368,0.769393085973024,0.13580246913580246,3,9,6,7,0.0,81
018DB80B,0.027174642288541908,0.9782871223875087,0.027777777777777776,2,6,6,4,3.3333,7
01914FC3,0.09511579443887122,0.8500390378179263,0.11805555555555555,4,12,8,9,43.05,50
